name,category,kind
imcrop,display,function
imcrop3,display,function
imdiffuseest,filtering,function
imdiffusefilt,filtering,function
imdilate,morphology,function
imdisplayrange,display,function
imdistline,display,function
imdivide,arithmetic,function
imerode,morphology,function
imextendedmax,morphology,function
imextendedmin,morphology,function
imfill,morphology,function
imfilter,filtering,function
imfindcircles,object-analysis,function
imfinfo,import-export,function
imflatfield,enhancement,function
imfuse,display,function
imgaborfilt,filtering,function
imgaussfilt,filtering,function
imgaussfilt3,filtering,function
imgca,display,function
imgcf,display,function
imgetfile,display,function
imgradient,object-analysis,function
imgradient3,object-analysis,function
imgradientxy,object-analysis,function
imgradientxyz,object-analysis,function
imguidedfilter,filtering,function
imhandles,display,function
imhist,region-properties,function
imhistmatch,enhancement,function
imhistmatchn,enhancement,function
imhmax,morphology,function
imhmin,morphology,function
imimposemin,morphology,function
imlincomb,arithmetic,function
imlocalbrighten,enhancement,function
immagbox,display,function
immovie,display,function
immse,image-quality,function
immultiply,arithmetic,function
imnlmfilt,filtering,function
imnoise,color,function
imopen,morphology,function
imoverlay,display,function
imoverview,display,function
imoverviewpanel,display,function
impixel,region-properties,function
impixelinfo,display,function
impixelinfoval,display,function
impixelregion,display,function
impixelregionpanel,display,function
improfile,region-properties,function
imputfile,display,function
impyramid,geometric,function
imquantize,type-conversion,function
imread,import-export,function
imreconstruct,morphology,function
imreducehaze,enhancement,function
imref2d,geometric,function
imref3d,geometric,function
imregconfig,geometric,function
imregcorr,geometric,function
imregdemons,geometric,function
imregionalmax,morphology,function
imregionalmin,morphology,function
imregister,geometric,function
imregmtb,geometric,function
imregtform,geometric,function
imresize,geometric,function
imresize3,geometric,function
imrotate,geometric,function
imrotate3,geometric,function
imsave,display,function
imscrollpanel,display,function
imsegfmm,segmentation,function
imseggeodesic,segmentation,function
imsegkmeans,segmentation,function
imsegkmeans3,segmentation,function
imsharpen,enhancement,function
imshow,display,function
imshowpair,display,function
imsplit,type-conversion,function
imsubtract,arithmetic,function
imtophat,morphology,function
imtranslate,geometric,function
imwarp,geometric,function
imwrite,import-export,function
inROI,roi-drawing,function
ind2gray,type-conversion,function
ind2rgb,type-conversion,function
inpaintCoherent,roi-drawing,function
inpaintExemplar,roi-drawing,function
integralBoxFilter,filtering,function
integralBoxFilter3,filtering,function
integralImage,filtering,function
integralImage3,filtering,function
intlut,enhancement,function
iptGetPointerBehavior,display,function
iptPointerManager,display,function
iptSetPointerBehavior,display,function
iptaddcallback,display,function
iptcheckconn,morphology,function
iptcheckhandle,display,function
iptcheckmap,display,function
iptgetapi,display,function
iptgetpref,display,function
ipticondir,display,function
iptprefs,display,function
iptremovecallback,display,function
iptsetpref,display,function
iptwindowalign,display,function
iradon,object-analysis,function
isicc,color,function
jaccard,segmentation,function
lab2double,color,function
lab2rgb,color,function
lab2uint16,color,function
lab2uint8,color,function
lab2xyz,color,function
label2idx,segmentation,function
label2rgb,type-conversion,function
labelmatrix,region-properties,function
labeloverlay,display,function
lazysnapping,segmentation,function
lin2rgb,color,function
localcontrast,enhancement,function
locallapfilt,enhancement,function
localtonemap,enhancement,function
makeConstrainToRectFcn,display,function
makecform,color,function
makelut,morphology,function
makeresampler,geometric,function
maketform,geometric,function
mat2gray,type-conversion,function
maxhessiannorm,filtering,function
mean2,region-properties,function
measureChromaticAberration,image-quality,function
measureColor,image-quality,function
measureIlluminant,image-quality,function
measureNoise,image-quality,function
measureSharpness,image-quality,function
medfilt2,filtering,function
medfilt3,filtering,function
modefilt,filtering,function
montage,type-conversion,function
multissim,image-quality,function
multissim3,image-quality,function
multithresh,type-conversion,function
niqe,image-quality,function
niqeModel,image-quality-classes,class
nlfilter,filtering,function
normxcorr2,geometric,function
ntsc2rgb,color,function
obliqueslice,display,function
offsetstrel,morphology,function
ordfilt2,filtering,function
orthosliceViewer,display,function
otf2psf,deblurring,function
otsuthresh,type-conversion,function
padarray,filtering,function
phantom,color,function
piqe,image-quality,function
plotChromaticity,image-quality,function
plotSFR,image-quality,function
poly2label,region-properties,function
poly2mask,roi-drawing,function
projective2d,geometric-classes,class
psf2otf,deblurring,function
psnr,image-quality,function
qtdecomp,object-analysis,function
qtgetblk,object-analysis,function
qtsetblk,object-analysis,function
radon,object-analysis,function
rangefilt,filtering,function
raw,import-export-raw,family
reduce,roi-drawing,function
reducepoly,roi-drawing,function
regionfill,roi-drawing,function
regionprops,region-properties,function
regionprops3,region-properties,function
rgb2gray,type-conversion,function
rgb2hsv,color,function
rgb2ind,type-conversion,function
rgb2lab,color,function
rgb2lightness,type-conversion,function
rgb2lin,color,function
rgb2ntsc,color,function
rgb2xyz,color,function
rgb2ycbcr,color,function
rgbwide2xyz,color,function
rgbwide2ycbcr,color,function
rigid2d,geometric-classes,class
rigid3d,geometric-classes,class
roicolor,roi-drawing,function
roifilt2,roi-drawing,function
roipoly,roi-drawing,function
sliceViewer,display,function
specializedformats,import-export-specialized,family
ssim,image-quality,function
std2,region-properties,function
stdfilt,filtering,function
strel,morphology,function
stretchlim,enhancement,function
superpixels,segmentation,function
superpixels3,segmentation,function
tformarray,geometric,function
tformfwd,geometric,function
tforminv,geometric,function
transformPointsForward,geometric,function
transformPointsInverse,geometric,function
truesize,display,function
visboundaries,object-analysis,function
viscircles,object-analysis,function
volshow,display,function
wait,roi-drawing,function
warp,display,function
watershed,segmentation,function
whitepoint,color,function
wiener2,filtering,function
xyz2double,color,function
xyz2lab,color,function
xyz2rgb,color,function
xyz2rgbwide,color,function
xyz2uint16,color,function
ycbcr2rgb,color,function
ycbcr2rgbwide,color,function
