file,member,category,kind,line,ordinal,rule,statement,note
src/JGraph.Scripting/Jgs/Interpreter.Structs.cs,AssignIntoStruct,adopt,Elements,238,0,M2 Share or copy,elements[picks[i]] = source.Elements[source.Length == 1 ? 0 : i],the written elements are the source's dictionaries; V1.2 shares them
src/JGraph.Scripting/Jgs/Interpreter.Structs.cs,AssignIntoStructGrid,adopt,Elements,309,0,M2 Share or copy,elements[slot] = source.Elements[0],"the written element is the source's dictionary; the next line shares it (JgsHolders.Share), as AssignIntoStruct does"
src/JGraph.Scripting/Jgs/Interpreter.Structs.cs,AssignIntoStructGrid,adopt,Elements,314,0,M2 Share or copy,elements[slot] = payload.Elements[r + (c * rows)],"a carried element; shared on the next line while the old array is still held (existing.IsShared), else it simply moves"
src/JGraph.Scripting/Jgs/Interpreter.TextWrites.cs,StringElementsFor,store,slot,200,0,"M2: an entry holds its own wrapper (Share), or the store is not an entry",texts[i] = piece.IsStringArray ? piece.ElementAt(0) : piece.Type == JgsType.String ? piece : TextElementOf(piece),"immutable element: a number, a string or a complex scalar, for which a share is the value itself"
src/JGraph.Scripting/Jgs/Interpreter.TextWrites.cs,WriteCells,write,local,657,0,M7 gated setter; M3 detaches at Holders > 1,cells[slots[i]] = JgsValue.Share(source[source.Length == 1 ? 0 : i]),"a store into a destination parameter (every parameter now reads as borrowed, not only the last): the caller allocated it for this call and nobody else holds it"
src/JGraph.Scripting/Jgs/Interpreter.cs,RangeFromValues,unclear,MarkTime,2441,0,V1.2 states the contract on the helper,JgsValue Finish(JgsValue result) => time is null ? result : result.MarkTime(time),the payload comes from the caller; V1.2 states the contract on the helper
src/JGraph.Scripting/Jgs/Interpreter.cs,EvaluateArrayLiteral,unclear,MarkTime,2732,0,V1.2 states the contract on the helper,built = built.MarkTime(first),the payload comes from the caller; V1.2 states the contract on the helper
src/JGraph.Scripting/Jgs/Interpreter.cs,BuildArrayLiteral,adopt,JgsValue.Array,2851,0,V1.2 states the contract on the helper,"JgsValue list = JgsPacking.Enabled && PackedOps.TryPackElements(elements, out JgsValue packed) ? packed : JgsValue.Array(elements)",the payload comes from the caller; V1.2 states the contract on the helper
src/JGraph.Scripting/Jgs/Interpreter.cs,AssembleLiteral,unclear,Reshape,3171,0,V1.2 states the contract on the helper,"packed.Reshape(height, width)",the payload comes from the caller; V1.2 states the contract on the helper
src/JGraph.Scripting/Jgs/Interpreter.cs,FlattenInto,store,add,3241,0,"M2: an entry holds its own wrapper (Share), or the store is not an entry",into.Add(value),"transient: an argument list, an option table or a working list built for one call; not an entry a later statement can read"
src/JGraph.Scripting/Jgs/Interpreter.cs,ApplyBinary,unclear,SetNumericClass,3609,0,V1.2 states the contract on the helper,answer.SetNumericClass(numericClass),the payload comes from the caller; V1.2 states the contract on the helper
src/JGraph.Scripting/Jgs/Interpreter.cs,CopyContainer,store,slot,4102,0,"M2: an entry holds its own wrapper (Share), or the store is not an entry",elements[i] = source2[i].Type == JgsType.Array ? CopyContainer(source2[i]) : source2[i],"JGRAPH_COW=0's eager copy of a boxed array: immutable element: a number, a string or a complex scalar, for which a share is the value itself"
src/JGraph.Scripting/Jgs/Interpreter.cs,KeepShape,mutate,TakeShapeOf,4118,0,M4 fresh wrapper or the entry's own,copy.TakeShapeOf(source),the copy is minted by the caller; M4's fresh case
src/JGraph.Scripting/Jgs/Interpreter.cs,CarryValueTags,mutate,SetNumericClass,4146,0,M4 fresh wrapper or the entry's own,copy.SetNumericClass(source.NumericClass),the copy is minted by the caller; M4's fresh case
src/JGraph.Scripting/Jgs/Interpreter.cs,CarryValueTags,mutate,MarkStringArray,4150,0,M4 fresh wrapper or the entry's own,copy.MarkStringArray(),the copy is minted by the caller; M4's fresh case
src/JGraph.Scripting/Jgs/Interpreter.cs,CarryValueTags,mutate,MarkCharMatrix,4159,0,M4 fresh wrapper or the entry's own,copy.MarkCharMatrix(),the copy is minted by the caller; M4's fresh case
src/JGraph.Scripting/Jgs/Interpreter.cs,CarryValueTags,mutate,MarkTime,4164,0,M4 fresh wrapper or the entry's own,copy.MarkTime(time),the copy is minted by the caller; M4's fresh case
src/JGraph.Scripting/Jgs/Interpreter.cs,CarryNdTags,mutate,SetNumericClass,4181,0,M4 fresh wrapper or the entry's own,copy.SetNumericClass(source.NumericClass),the copy is minted by the caller; M4's fresh case
src/JGraph.Scripting/Jgs/Interpreter.cs,CarryNdTags,mutate,MarkStringArray,4184,0,M4 fresh wrapper or the entry's own,copy.MarkStringArray(),the copy is minted by the caller; M4's fresh case
src/JGraph.Scripting/Jgs/Interpreter.cs,CarryNdTags,mutate,MarkCharMatrix,4189,0,M4 fresh wrapper or the entry's own,copy.MarkCharMatrix(),the copy is minted by the caller; M4's fresh case
src/JGraph.Scripting/Jgs/Interpreter.cs,CarryNdTags,mutate,MarkTime,4194,0,M4 fresh wrapper or the entry's own,copy.MarkTime(time),the copy is minted by the caller; M4's fresh case
src/JGraph.Scripting/Jgs/Interpreter.cs,KeepNumericClass,mutate,SetNumericClass,4214,0,M4 fresh wrapper or the entry's own,rebuilt.SetNumericClass(source.NumericClass),the rebuild is minted by the caller; M4's fresh case
src/JGraph.Scripting/Jgs/Interpreter.cs,Grow,write,TryGrowInPlace,4676,0,M7 gated setter; M3 detaches at Holders > 1,"if (Dialect.CopyOnAssign && !current.IsDatetime && current.TryGrowInPlace(newRows, newCols))","growth in place; M7 gates it, and growing a shared payload detaches first"
src/JGraph.Scripting/Jgs/Interpreter.cs,GrowVector,write,TryGrowInPlace,4757,0,M7 gated setter; M3 detaches at Holders > 1,"if (Dialect.CopyOnAssign && !current.IsDatetime && current.TryGrowInPlace(growsAsColumn ? needed : 1, growsAsColumn ? 1 : needed))","growth in place; M7 gates it, and growing a shared payload detaches first"
src/JGraph.Scripting/Jgs/Interpreter.cs,KeepTextKind,mutate,MarkTime,4803,0,M4 fresh wrapper or the entry's own,rebuilt.MarkTime(time),the rebuild is minted by the caller; M4's fresh case
src/JGraph.Scripting/Jgs/Interpreter.cs,KeepTextKind,mutate,MarkCharMatrix,4808,0,M4 fresh wrapper or the entry's own,rebuilt.MarkCharMatrix(),the rebuild is minted by the caller; M4's fresh case
src/JGraph.Scripting/Jgs/Interpreter.cs,KeepTextKind,mutate,MarkStringArray,4811,0,M4 fresh wrapper or the entry's own,return source.IsStringArray ? rebuilt.MarkStringArray() : rebuilt,the rebuild is minted by the caller; M4's fresh case
src/JGraph.Scripting/Jgs/Interpreter.cs,AsIndexArray,unclear,JgsValue.Array,4859,0,V1.2 states the contract on the helper,private static JgsValue AsIndexArray(JgsValue index) => index.Type == JgsType.Array ? index : JgsValue.Array([index]),the payload comes from the caller; V1.2 states the contract on the helper
src/JGraph.Scripting/Jgs/Interpreter.cs,AsIndexArray,store,collection,4859,0,"M2: an entry holds its own wrapper (Share), or the store is not an entry",private static JgsValue AsIndexArray(JgsValue index) => index.Type == JgsType.Array ? index : JgsValue.Array([index]),"immutable element: a number, a string or a complex scalar, for which a share is the value itself"
src/JGraph.Scripting/Jgs/Interpreter.cs,WriteElement,write,SetPackedNumber,4892,0,M7 gated setter; M3 detaches at Holders > 1,"container.SetPackedNumber(index, value.AsNumber)",the packed element road; M7 puts the holder check inside the setter
src/JGraph.Scripting/Jgs/Interpreter.cs,WriteElement,write,SetPackedNumber,4898,0,M7 gated setter; M3 detaches at Holders > 1,"container.SetPackedNumber(index, value.AsBool ? 1 : 0)",the packed element road; M7 puts the holder check inside the setter
src/JGraph.Scripting/Jgs/Interpreter.cs,WriteElement,mutate,DemoteToBoxed,4902,0,V1.2 states the contract on the helper,container.DemoteToBoxed(),"M4 on the entry's own wrapper, which M2 makes safe; M3 detaches before it"
src/JGraph.Scripting/Jgs/Interpreter.cs,WriteElement,write,SetPackedComplex,4908,0,M7 gated setter; M3 detaches at Holders > 1,"container.SetPackedComplex(index, value.AsComplex)","the complex element store, moved from a raw plane write into the wrapper's setter so the gate runs inside it"
src/JGraph.Scripting/Jgs/Interpreter.cs,WriteElement,mutate,DemoteToBoxed,4912,1,V1.2 states the contract on the helper,container.DemoteToBoxed(),"M4 on the entry's own wrapper, which M2 makes safe; M3 detaches before it"
src/JGraph.Scripting/Jgs/Interpreter.cs,WriteElement,write,SetSlot,4915,0,M7 gated setter; M3 detaches at Holders > 1,"container.SetSlot(index, value)","the boxed element store, moved from a raw AsArray[] write into the wrapper's setter so the gate runs inside it"
src/JGraph.Scripting/Jgs/Interpreter.cs,WriteElement,store,setslot,4915,0,"M2: an entry holds its own wrapper (Share), or the store is not an entry","container.SetSlot(index, value)",SetSlot with the value the assignment road retained (adopted or CopyForBinding's share)
src/JGraph.Scripting/Jgs/Interpreter.cs,AssignThroughIndex,write,gated,5118,0,"M7 gated accessor: Writable*() detaches at Holders > 1, then hands back the entry's own storage",array[single] = stored,the boxed indexed store writes into target.WritableArray(); the target itself is resolved through its entry by EvaluateForWrite (M16)
src/JGraph.Scripting/Jgs/Interpreter.cs,AssignThroughIndex,store,slot,5118,0,"M2: an entry holds its own wrapper (Share), or the store is not an entry",array[single] = stored,"a boxed array's elements: immutable element: a number, a string or a complex scalar, for which a share is the value itself"
src/JGraph.Scripting/Jgs/Interpreter.cs,AssignThroughIndex,write,gated,5128,0,"M7 gated accessor: Writable*() detaches at Holders > 1, then hands back the entry's own storage","array[pick] = op == TokenType.Assign ? rhs : JgsNumericClasses.Storable(ApplyBinary(UnderlyingOp(op), array[pick], rhs, at), storeClass)",the boxed indexed store writes into target.WritableArray(); the target itself is resolved through its entry by EvaluateForWrite (M16)
src/JGraph.Scripting/Jgs/Interpreter.cs,AssignThroughIndex,store,slot,5128,0,"M2: an entry holds its own wrapper (Share), or the store is not an entry","array[pick] = op == TokenType.Assign ? rhs : JgsNumericClasses.Storable(ApplyBinary(UnderlyingOp(op), array[pick], rhs, at), storeClass)","a boxed array's elements: immutable element: a number, a string or a complex scalar, for which a share is the value itself"
src/JGraph.Scripting/Jgs/Interpreter.cs,AssignThroughIndex,write,gated,5146,0,"M7 gated accessor: Writable*() detaches at Holders > 1, then hands back the entry's own storage","array[picks[i]] = op == TokenType.Assign ? source[i] : JgsNumericClasses.Storable( ApplyBinary(UnderlyingOp(op), array[picks[i]], source[i], at), s...",the boxed indexed store writes into target.WritableArray(); the target itself is resolved through its entry by EvaluateForWrite (M16)
src/JGraph.Scripting/Jgs/Interpreter.cs,AssignThroughIndex,store,slot,5146,0,"M2: an entry holds its own wrapper (Share), or the store is not an entry","array[picks[i]] = op == TokenType.Assign ? source[i] : JgsNumericClasses.Storable( ApplyBinary(UnderlyingOp(op), array[picks[i]], source[i], at), s...","a boxed array's elements: immutable element: a number, a string or a complex scalar, for which a share is the value itself"
src/JGraph.Scripting/Jgs/Interpreter.cs,TryPackedParenWrite,write,SetPackedNumber,5197,0,M7 gated setter; M3 detaches at Holders > 1,"target.SetPackedNumber(single, stored)",the packed scalar road; the check is inside the setter
src/JGraph.Scripting/Jgs/Interpreter.cs,TryPackedParenWrite,write,gated,5244,0,"M7 gated accessor: Writable*() detaches at Holders > 1, then hands back the entry's own storage","span[picks[i]] = into.Apply( combine(span[picks[i]], source is null ? scalarRhs : source.AsSpan()[i]))",the packed scatter writes into target.WritableBuffer()'s span; the demotion road beside it shares the same gate
src/JGraph.Scripting/Jgs/Interpreter.cs,TryPackedComplexParenWrite,write,SetPackedComplex,5288,0,M7 gated setter; M3 detaches at Holders > 1,"target.SetPackedComplex(single, rhs.AsComplex)",the complex paren store through the wrapper's setter
src/JGraph.Scripting/Jgs/Interpreter.cs,OneElementArray,unclear,JgsValue.Array,5642,0,V1.2 states the contract on the helper,"JgsValue array = JgsNumericClasses.Stamp(JgsValue.Array([scalar]), scalar.NumericClass)",the payload comes from the caller; V1.2 states the contract on the helper
src/JGraph.Scripting/Jgs/Interpreter.cs,OneElementArray,store,collection,5642,0,"M2: an entry holds its own wrapper (Share), or the store is not an entry","JgsValue array = JgsNumericClasses.Stamp(JgsValue.Array([scalar]), scalar.NumericClass)","immutable element: a number, a string or a complex scalar, for which a share is the value itself"
src/JGraph.Scripting/Jgs/Interpreter.cs,IndexInto,unclear,MarkStringArray,5676,0,V1.2 states the contract on the helper,return picked.Type == JgsType.String ? JgsValue.StringScalar(picked.AsString) : picked.Type == JgsType.Array && !picked.IsStringArray ? picked.Mark...,the payload comes from the caller; V1.2 states the contract on the helper
src/JGraph.Scripting/Jgs/Interpreter.cs,IndexIntoCore,store,copy,5772,0,"M2: an entry holds its own wrapper (Share), or the store is not an entry","JgsValue all = target.IsPacked ? PackedOps.Clone(target, _cancelCheck) : target.IsPackedComplex ? PackedOps.CloneComplex(target, _cancelCheck) : Jg...","immutable element: a number, a string or a complex scalar, for which a share is the value itself"
src/JGraph.Scripting/Jgs/Interpreter.cs,AssignNSubscripts,unclear,ReshapeDims,6041,0,M4 mutator on a wrapper minted here,callee.ReshapeDims(grownExtents),the grown array was minted by FromElements two statements above and nobody holds it yet; Stored() then puts it through the target's entry
src/JGraph.Scripting/Jgs/Interpreter.cs,GatherOrIndex,store,slot,6369,0,"M2: an entry holds its own wrapper (Share), or the store is not an entry",gathered[i] = target.AsArray[picks[i]],"immutable element: a number, a string or a complex scalar, for which a share is the value itself"
src/JGraph.Scripting/Jgs/Interpreter.cs,OrientGather,mutate,Reshape,6402,0,V1.2 states the contract on the helper,"result.Reshape(result.ArrayLength, 1)",the payload comes from the caller; V1.2 states the contract on the helper
src/JGraph.Scripting/Jgs/Interpreter.cs,OrientGather,mutate,Reshape,6412,0,V1.2 states the contract on the helper,"result.Reshape(indexRows, indexCols)",the payload comes from the caller; V1.2 states the contract on the helper
src/JGraph.Scripting/Jgs/Interpreter.cs,OrientGather,mutate,Reshape,6418,1,V1.2 states the contract on the helper,"result.Reshape(result.ArrayLength, 1)",the payload comes from the caller; V1.2 states the contract on the helper
src/JGraph.Scripting/Jgs/Interpreter.cs,EvaluateSpread,store,slot,7071,0,"M2: an entry holds its own wrapper (Share), or the store is not an entry",spread[i] = elements[slots[i]],"transient: a comma-separated list, which its consumer (a literal, an argument list, a multiple assignment) shares as it stores"
src/JGraph.Scripting/Jgs/Interpreter.cs,HoldAll,write,local,7214,0,M5 scope,"values[i] = Hold(values[i], ref holds)","the evaluator's own argument array (EvaluateAll minted it); a slot is replaced by the scope's counted share, never written into a payload"
src/JGraph.Scripting/Jgs/Interpreter.cs,AssignToMember,write,gated,7578,0,"M7 gated accessor: Writable*() detaches at Holders > 1, then hands back the entry's own storage",container.WritableStruct()[field] = value,"the struct field store into container.WritableStruct(); a Map is never shared, so for it the gate is a no-op"
src/JGraph.Scripting/Jgs/Interpreter.cs,AssignToMember,store,gated,7578,1,"M2: an entry holds its own wrapper (Share), or the store is not an entry",container.WritableStruct()[field] = value,"the value the assignment road retained (the adopted minted answer, or CopyForBinding's share), stored through the gate"
src/JGraph.Scripting/Jgs/Interpreter.cs,ResolveStructForWrite,write,gated,7708,0,"M7 gated accessor: Writable*() detaches at Holders > 1, then hands back the entry's own storage",fields[field] = child,an empty struct started from [] stored into the object's WritableFields() on the way down a dotted path - o.s.f = v where the property o.s was [] (V6)
src/JGraph.Scripting/Jgs/Interpreter.cs,ResolveStructForWrite,write,gated,7740,1,"M7 gated accessor: Writable*() detaches at Holders > 1, then hands back the entry's own storage",fields[field] = child,an auto-created child stored into the parent's WritableStruct() on the way down a dotted path
src/JGraph.Scripting/Jgs/Interpreter.cs,ResolveStructElementForWrite,adopt,JgsValue.StructArray,7915,0,M2 Share or copy,"array = JgsValue.StructArray(payload, column ? grown.Length : 1, column ? 1 : grown.Length)","a wrapper over the grown payload, which the method itself grew"
src/JGraph.Scripting/Jgs/Interpreter.cs,AssignToBraceIndex,write,gated,8003,0,"M7 gated accessor: Writable*() detaches at Holders > 1, then hands back the entry's own storage",elements[row + (column * target.Rows)] = value,the cell slot store into target.WritableCell(); the widened/grown cells beside it are fresh and on the tripwire's allow-list
src/JGraph.Scripting/Jgs/Interpreter.cs,AssignToBraceIndex,store,slot,8003,0,"M2: an entry holds its own wrapper (Share), or the store is not an entry",elements[row + (column * target.Rows)] = value,"the value the assignment road retained (the adopted minted answer, or CopyForBinding's share), stored through the gate"
src/JGraph.Scripting/Jgs/Interpreter.cs,AssignToBraceIndex,write,AsCell,8011,0,M7 gated setter; M3 detaches at Holders > 1,widened.AsCell[row + (column * widened.Rows)] = value,the cell slot road; M7 gains a gated slot setter
src/JGraph.Scripting/Jgs/Interpreter.cs,AssignToBraceIndex,store,gated,8011,0,"M2: an entry holds its own wrapper (Share), or the store is not an entry",widened.AsCell[row + (column * widened.Rows)] = value,"the value the assignment road retained (the adopted minted answer, or CopyForBinding's share), stored through the gate"
src/JGraph.Scripting/Jgs/Interpreter.cs,AssignToBraceIndex,write,gated,8024,0,"M7 gated accessor: Writable*() detaches at Holders > 1, then hands back the entry's own storage",elements[slots[0]] = value,the cell slot store into target.WritableCell(); the widened/grown cells beside it are fresh and on the tripwire's allow-list
src/JGraph.Scripting/Jgs/Interpreter.cs,AssignToBraceIndex,store,slot,8024,0,"M2: an entry holds its own wrapper (Share), or the store is not an entry",elements[slots[0]] = value,"the value the assignment road retained (the adopted minted answer, or CopyForBinding's share), stored through the gate"
src/JGraph.Scripting/Jgs/Interpreter.cs,AssignToBraceIndex,write,AsCell,8057,0,M7 gated setter; M3 detaches at Holders > 1,grown.AsCell[position] = value,the cell slot road; M7 gains a gated slot setter
src/JGraph.Scripting/Jgs/Interpreter.cs,AssignToBraceIndex,store,gated,8057,0,"M2: an entry holds its own wrapper (Share), or the store is not an entry",grown.AsCell[position] = value,"the value the assignment road retained (the adopted minted answer, or CopyForBinding's share), stored through the gate"
src/JGraph.Scripting/Jgs/Interpreter.cs,AssignToBraceIndex,write,gated,8062,0,"M7 gated accessor: Writable*() detaches at Holders > 1, then hands back the entry's own storage",elements[position] = value,the cell slot store into target.WritableCell(); the widened/grown cells beside it are fresh and on the tripwire's allow-list
src/JGraph.Scripting/Jgs/Interpreter.cs,AssignToBraceIndex,store,slot,8062,0,"M2: an entry holds its own wrapper (Share), or the store is not an entry",elements[position] = value,"the value the assignment road retained (the adopted minted answer, or CopyForBinding's share), stored through the gate"
src/JGraph.Scripting/Jgs/Interpreter.cs,GrownCell,store,slot,8118,0,"M2: an entry holds its own wrapper (Share), or the store is not an entry",grown[r + (c * rows)] = held[r + (c * wasRows)],moved: the old container is the entry's own (detached by the write road) and is discarded
src/JGraph.Scripting/Jgs/Interpreter.cs,ShapedFrom,unclear,Reshape,8252,0,V1.2 states the contract on the helper,"packed.Reshape(rows, cols)",the payload comes from the caller; V1.2 states the contract on the helper
src/JGraph.Scripting/Jgs/Interpreter.cs,ShapedFrom,adopt,JgsValue.Shaped,8256,0,V1.2 states the contract on the helper,"return JgsValue.Shaped(elements, rows, cols)",the payload comes from the caller; V1.2 states the contract on the helper
src/JGraph.Scripting/Jgs/Interpreter.cs,Conjugated,store,slot,8288,0,"M2: an entry holds its own wrapper (Share), or the store is not an entry",conjugated[i] = source2[i].Type == JgsType.Complex ? JgsValue.ComplexNum(Complex.Conjugate(source2[i].AsComplex)) : source2[i],"immutable element: a number, a string or a complex scalar, for which a share is the value itself"
src/JGraph.Scripting/Jgs/Interpreter.cs,RealPartOf,store,slot,8468,0,"M2: an entry holds its own wrapper (Share), or the store is not an entry",parts[i] = RealPartOf(source[i]),"immutable element: a number, a string or a complex scalar, for which a share is the value itself"
src/JGraph.Scripting/Jgs/Interpreter.cs,MapNumeric,store,slot,8868,0,"M2: an entry holds its own wrapper (Share), or the store is not an entry","result[i] = MapNumeric(source[i], op, symbol, line, column, complexOp, vectorOp)","immutable element: a number, a string or a complex scalar, for which a share is the value itself"
src/JGraph.Scripting/Jgs/JgsBuiltinForwarder.cs,CallAsStatement,store,slot,109,0,"M2: an entry holds its own wrapper (Share), or the store is not an entry",rest[i - 1] = arguments[i],"transient: an argument list, an option table or a working list built for one call; not an entry a later statement can read"
src/JGraph.Scripting/Jgs/JgsBuiltins.Arrays.cs,ApplyOverArrays,store,add,66,0,"M2: an entry holds its own wrapper (Share), or the store is not an entry",tail.Add(args[t]),"transient: an argument list, an option table or a working list built for one call; not an entry a later statement can read"
src/JGraph.Scripting/Jgs/JgsBuiltins.Arrays.cs,builtin:bsxfun,handback,return,158,0,M2: shared at the binding (CopyForBinding); not on JgsBuiltins.MintingBuiltins,"return JgsBroadcast.Map(args[1], args[2], , line, col, (a, b) => f.Call([a, b], line, col))","may hand back an argument, or a helper's answer that may be one; the binding shares it, so a write through the name detaches"
src/JGraph.Scripting/Jgs/JgsBuiltins.Arrays.cs,RegisterApplication,store,add,178,0,"M2: an entry holds its own wrapper (Share), or the store is not an entry","Define( , (args, line, col) => { if (args.Count < 2 || args[0].Type != JgsType.Function || args[1].Type != JgsType.Struct) { throw new JgsRuntimeEx...",a registration the splitter kept whole; the store inside is an argument list for a call
src/JGraph.Scripting/Jgs/JgsBuiltins.Arrays.cs,StructElementValues,adopt,Elements,291,0,M2 Share or copy,elements[i] = JgsValue.Struct(payload.Elements[i]),each element wrapper holds the array's own dictionary; V1.2 shares
src/JGraph.Scripting/Jgs/JgsBuiltins.Arrays.cs,RegisterRandomDraws,unclear,SetNumericClass,429,0,V1.2 states the contract on the helper,"Define( , (args, line, col) => { ArityRange( , args, 1, int.MaxValue, line, col); (args, JgsNumericClass? asClass, bool asLogical) = DrawnClass( , ...",the payload comes from the caller; V1.2 states the contract on the helper
src/JGraph.Scripting/Jgs/JgsBuiltins.Arrays.cs,builtin:randi,handback,return,429,0,M2: shared at the binding (CopyForBinding); not on JgsBuiltins.MintingBuiltins,"return MapToBool( , drawn, static x => x != 0, line, col)","may hand back an argument, or a helper's answer that may be one; the binding shares it, so a write through the name detaches"
src/JGraph.Scripting/Jgs/JgsBuiltins.Arrays.cs,builtin:circshift,handback,return,544,0,M2: shared at the binding (CopyForBinding); not on JgsBuiltins.MintingBuiltins,return args[0],hands the argument back when there is nothing to shift
src/JGraph.Scripting/Jgs/JgsBuiltins.BvpDde.cs,builtin:bvpget,handback,lambda,50,0,M2: shared at the binding (CopyForBinding); not on JgsBuiltins.MintingBuiltins,"OptionsSetting( , BvpsetFields, args, line, col)","may hand back an argument, or a helper's answer that may be one; the binding shares it, so a write through the name detaches"
src/JGraph.Scripting/Jgs/JgsBuiltins.BvpDde.cs,builtin:ddeget,handback,lambda,57,0,M2: shared at the binding (CopyForBinding); not on JgsBuiltins.MintingBuiltins,"OptionsSetting( , DdesetFields, args, line, col)","may hand back an argument, or a helper's answer that may be one; the binding shares it, so a write through the name detaches"
src/JGraph.Scripting/Jgs/JgsBuiltins.BvpDde.cs,SolveDde,unclear,JgsValue.Cell,1019,0,V1.2 states the contract on the helper,"fields[ ] = JgsValue.Cell([Column(consistent.Y0), Column(consistent.Yp0)])",the payload comes from the caller; V1.2 states the contract on the helper
src/JGraph.Scripting/Jgs/JgsBuiltins.CalendarDuration.cs,builtin:calendarDuration,handback,return,56,0,M2: shared at the binding (CopyForBinding); not on JgsBuiltins.MintingBuiltins,"return CalendarFromMatrix(args[0], line, col)","may hand back an argument, or a helper's answer that may be one; the binding shares it, so a write through the name detaches"
src/JGraph.Scripting/Jgs/JgsBuiltins.CalendarDuration.cs,SplitCalendar,store,slot,184,0,"M2: an entry holds its own wrapper (Share), or the store is not an entry","outputs[u] = unit == ? WrapTime(Numbers(column), JgsTime.DurationTag()) : column.Length == 1 ? JgsValue.Number(column[0]) : Numbers(column)","a fresh time wrapper (WrapTime mints) or a number: immutable, or the answer's own"
src/JGraph.Scripting/Jgs/JgsBuiltins.CalendarDuration.cs,CalendarValue,adopt,JgsValue.StructArray,247,0,V1.2 states the contract on the helper,JgsValue built = JgsValue.StructArray(elements),the payload comes from the caller; V1.2 states the contract on the helper
src/JGraph.Scripting/Jgs/JgsBuiltins.ChangeDetection.cs,CumulativeSum,store,add,51,0,"M2: an entry holds its own wrapper (Share), or the store is not an entry",numeric.Add(args[i]),"transient: an argument list, an option table or a working list built for one call; not an entry a later statement can read"
src/JGraph.Scripting/Jgs/JgsBuiltins.Charts3D.cs,Pie3Options,store,add,495,0,"M2: an entry holds its own wrapper (Share), or the store is not an entry",words.Add(args[at].AsString),"immutable element: a number, a string or a complex scalar, for which a share is the value itself"
src/JGraph.Scripting/Jgs/JgsBuiltins.Classes.cs,RegisterClassBuiltins,unclear,SetClassName,55,0,V1.2 states the contract on the helper,"Define( , (args, line, col) => { Arity( , args, 1, line, col); JgsValue described = JgsValue.Struct(new Dictionary<string, JgsValue>(StringComparer...",the payload comes from the caller; V1.2 states the contract on the helper
src/JGraph.Scripting/Jgs/JgsBuiltins.Classes.cs,RegisterClassBuiltins,unclear,JgsValue.Cell,69,0,V1.2 states the contract on the helper,"Define( , (args, line, col) => { Arity( , args, 2, line, col); (string identifier, string message) = ReadErrorValue( , args[0], line, col); if (arg...","addCause: every cause, old and new, is shared into the new exception (JgsValue.Share) and the cell is minted here (V6)"
